color,first_name,last_name,email,number
Green,Chadd,Barkes,cbarkes0@cdc.gov,37
Teal,Goldie,Antonucci,gantonucci1@kickstarter.com,34
Maroon,Rori,Lintin,rlintin2@vinaora.com,48
Crimson,Damon,Ghiraldi,dghiraldi3@biglobe.ne.jp,53
Green,Gale,Geaney,ggeaney4@indiegogo.com,65
Goldenrod,Tobe,Sawell,tsawell5@illinois.edu,85
Maroon,Keene,Capelow,kcapelow6@wikispaces.com,5
Puce,Charissa,Sandland,csandland7@slashdot.org,32
Violet,Pattie,Oldred,poldred8@uiuc.edu,33
Orange,Gretna,Hellwich,ghellwich9@squidoo.com,39
Purple,Roxanna,Forgie,rforgiea@goodreads.com,58
Mauv,Jeana,Papen,jpapenb@usnews.com,71
Yellow,Lanni,Wilber,lwilberc@blogtalkradio.com,4
Khaki,Bancroft,Levin,blevind@macromedia.com,5
Green,Curry,Crallan,ccrallane@soup.io,24
Mauv,Caleb,Cardoo,ccardoof@surveymonkey.com,42
Yellow,Astrid,Hooks,ahooksg@ftc.gov,15
Orange,Ced,Traut,ctrauth@networksolutions.com,65
Maroon,Nappy,Rotlauf,nrotlaufi@si.edu,71
Maroon,Opalina,O'Driscole,oodriscolej@webmd.com,37
Indigo,Blanch,Gendricke,bgendrickek@princeton.edu,19
Green,Tyrone,O'Mohun,tomohunl@diigo.com,47
Khaki,Claudell,Robinson,crobinsonm@biglobe.ne.jp,34
Maroon,Patrice,Starford,pstarfordn@marketwatch.com,25
Mauv,Rowan,Lyles,rlyleso@usa.gov,8
