color,first_name,last_name,email,app name
Red,Koenraad,Mytton,kmytton0@taobao.com,Gembucket
Purple,Damara,Twiddell,dtwiddell1@admin.ch,Biodex
Aquamarine,Samuele,Yashnov,syashnov2@scientificamerican.com,Sonair
Yellow,Issy,De Beauchemp,idebeauchemp3@shutterfly.com,Subin
Maroon,Karna,Turvey,kturvey4@hexun.com,Bitwolf
Yellow,Salome,Garioch,sgarioch5@nbcnews.com,Toughjoyfax
Goldenrod,Benedicta,De Giovanni,bdegiovanni6@live.com,Otcom
Teal,Efren,Whitesel,ewhitesel7@biblegateway.com,Stim
Teal,Kermy,Roan,kroan8@fc2.com,Opela
Fuscia,Kort,Lount,klount9@edublogs.org,Otcom
Mauv,Bran,Sculpher,bsculphera@arizona.edu,Rank
Crimson,Lanie,Dyble,ldybleb@hexun.com,Trippledex
Green,Roberta,Coo,rcooc@alexa.com,Latlux
Puce,Krissie,Murrill,kmurrilld@github.io,Voltsillam
Puce,Reginald,Kasbye,rkasbyee@w3.org,It
Yellow,Jo-anne,Trafford,jtraffordf@sourceforge.net,Viva
Violet,Gerty,Hampton,ghamptong@mac.com,Sonsing
Indigo,Farr,Stedman,fstedmanh@mashable.com,Home Ing
Puce,Kaleb,Mines,kminesi@reuters.com,Quo Lux
Green,Alvy,Frape,afrapej@discovery.com,Latlux
Khaki,Kassia,Steenson,ksteensonk@cbslocal.com,Rank
Blue,Lem,Pescott,lpescottl@sogou.com,Bitchip
Orange,Staci,Enders,sendersm@nps.gov,Viva
Green,Kipper,Robichon,krobichonn@sciencedirect.com,Holdlamis
Blue,Corry,Pyson,cpysono@printfriendly.com,Konklab
